actor,object,optimal_behavior,stimuli_behavior,distance,distance_distances,mod,gp,optimal_behavior_first_word,optimal_behavior_rest,optimal_behavior_all,stimuli_behavior_first_word,stimuli_behavior_rest,stimuli_behavior_all,actor_object_pair
dental hygienist,cook,ask about,abandon,25.2363,26.60466719,11,3,asks,about,asks about,abandons,NA,abandons,dental hygienist __________ cook
dental hygienist,crane operator,serve,care for,8.5673,9.424746535,12,2,serves,NA,serves,cares,for,cares for,dental hygienist __________ crane operator
dental hygienist,crane operator,serve,deprive,15.2794,16.75497436,13,1,serves,NA,serves,deprives,NA,deprives,dental hygienist __________ crane operator
dental hygienist,defense attorney,serve,implicate,5.7029,6.088806907,14,1,serves,NA,serves,implicates,NA,implicates,dental hygienist __________ defense attorney
dental hygienist,defense attorney,serve,restrain,10.9794,12.02463467,15,2,serves,NA,serves,restrains,NA,restrains,dental hygienist __________ defense attorney
dental hygienist,dental hygienist,ask about,subdue,6.6897,7.44567718,16,3,asks,about,asks about,subdues,NA,subdues,dental hygienist __________ dental hygienist
dental hygienist,dental hygienist,ask about,deflate,15.3194,16.24867159,1,4,asks,about,asks about,deflates,NA,deflates,dental hygienist __________ dental hygienist
dental hygienist,dentist,ask about,support,5.2338,6.329118033,2,4,asks,about,asks about,supports,NA,supports,dental hygienist __________ dentist
dental hygienist,dentist,ask about,bait,12.1869,13.52831621,3,3,asks,about,asks about,baits,NA,baits,dental hygienist __________ dentist
dental hygienist,firefighter,ask about,holler at,11.0889,9.047213232,4,2,asks,about,asks about,hollers,at,hollers at,dental hygienist __________ firefighter
dental hygienist,firefighter,ask about,misinform,16.0484,17.54007278,5,1,asks,about,asks about,misinforms,NA,misinforms,dental hygienist __________ firefighter
dental hygienist,foreman,serve,misunderstand,10.9675,10.4294712,8,1,serves,NA,serves,misunderstands,NA,misunderstands,dental hygienist __________ foreman
dental hygienist,foreman,serve,heckle,16.6265,16.23627432,9,2,serves,NA,serves,heckles,NA,heckles,dental hygienist __________ foreman
dental hygienist,musician,ask about,bawl out,10.2586,10.26626046,10,3,asks,about,asks about,bawls,out,bawls out,dental hygienist __________ musician
dental hygienist,musician,ask about,overwhelm,10.5505,11.21820939,11,4,asks,about,asks about,overwhelms,NA,overwhelms,dental hygienist __________ musician
dental hygienist,nurse,ask about,give in to,12.3386,12.01605336,12,4,asks,about,asks about,gives,in to,gives in to,dental hygienist __________ nurse
dental hygienist,nurse,ask about,infuriate,17.8925,18.57318143,13,3,asks,about,asks about,infuriates,NA,infuriates,dental hygienist __________ nurse
dental hygienist,nutritionist,ask about,hush,5.6146,6.232986709,14,2,asks,about,asks about,hushs,NA,hushes,dental hygienist __________ nutritionist
dental hygienist,nutritionist,ask about,abuse,32.091,32.89084442,15,1,asks,about,asks about,abuses,NA,abuses,dental hygienist __________ nutritionist
dental hygienist,pediatrician,ask about,kowtow to,11.3454,9.985580839,16,1,asks,about,asks about,kowtows,to,kowtows to,dental hygienist __________ pediatrician
dental hygienist,pediatrician,ask about,pester,17.4041,17.05580615,1,2,asks,about,asks about,pesters,NA,pesters,dental hygienist __________ pediatrician
dental hygienist,surgeon,ask about,scoff at,14.5606,15.22891634,2,3,asks,about,asks about,scoffs,at,scoffs at,dental hygienist __________ surgeon
dental hygienist,surgeon,ask about,corner,12.5622,15.54290055,3,4,asks,about,asks about,corners,NA,corners,dental hygienist __________ surgeon
dental hygienist,teacher,ask about,reproach,5.6763,6.290941227,4,4,asks,about,asks about,reproachs,NA,reproaches,dental hygienist __________ teacher
dental hygienist,teacher,ask about,berate,17.4906,18.38821803,5,3,asks,about,asks about,berates,NA,berates,dental hygienist __________ teacher
dental hygienist,technician,ask about,mother,5.2642,6.223280264,6,2,asks,about,asks about,mothers,NA,mothers,dental hygienist __________ technician
dental hygienist,technician,ask about,walk out on,16.2674,17.32201346,7,1,asks,about,asks about,walks,out on,walks out on,dental hygienist __________ technician
dentist,bailiff,serve,assist,5.5629,5.073154382,10,1,serves,NA,serves,assists,NA,assists,dentist __________ bailiff
dentist,bailiff,serve,apprehend,6.4458,7.117607635,11,2,serves,NA,serves,apprehends,NA,apprehends,dentist __________ bailiff
dentist,civil engineer,turn to,subdue,8.2766,7.99882431,12,3,turns,to,turns to,subdues,NA,subdues,dentist __________ civil engineer
dentist,civil engineer,turn to,threaten,29.3531,28.60346652,13,4,turns,to,turns to,threatens,NA,threatens,dentist __________ civil engineer
dentist,cook,consult,bait,13.3429,14.1032205,14,4,consults,NA,consults,baits,NA,baits,dentist __________ cook
dentist,cook,consult,upset,19.1529,20.13012011,15,3,consults,NA,consults,upsets,NA,upsets,dentist __________ cook
dentist,crane operator,serve,baby,9.3066,10.60883592,16,2,serves,NA,serves,babies,NA,babies,dentist __________ crane operator
dentist,crane operator,serve,fail,16.5576,18.23367079,1,1,serves,NA,serves,fails,NA,fails,dentist __________ crane operator
dentist,defense attorney,serve,corner,12.3569,13.70619107,2,1,serves,NA,serves,corners,NA,corners,dentist __________ defense attorney
dentist,defense attorney,serve,double cross,20.5208,22.1784934,3,2,serves,NA,serves,doubles,cross,double crosses,dentist __________ defense attorney
dentist,dental hygienist,consult,reproach,6.6621,6.850153236,4,3,consults,NA,consults,reproachs,NA,reproaches,dentist __________ dental hygienist
dentist,dental hygienist,consult,hound,14.3956,14.82320868,5,4,consults,NA,consults,hounds,NA,hounds,dentist __________ dental hygienist
dentist,dentist,turn to,admonish,6.0477,5.445131482,6,4,turns,to,turns to,admonishs,NA,admonishes,dentist __________ dentist
dentist,dentist,turn to,swindle,22.4408,21.42798248,7,3,turns,to,turns to,swindles,NA,swindles,dentist __________ dentist
dentist,firefighter,answer,understand,5.2019,5.981795059,8,2,answers,NA,answers,understands,NA,understands,dentist __________ firefighter
dentist,firefighter,answer,tell off,11.181,12.07648369,9,1,answers,NA,answers,tells,off,tells off,dentist __________ firefighter
dentist,foreman,excuse,rebuff,5.3986,6.097478306,12,1,excuses,NA,excuses,rebuffs,NA,rebuffs,dentist __________ foreman
dentist,foreman,excuse,cave in to,12.5748,13.26205397,13,2,excuses,NA,excuses,caves,in to,caves in to,dentist __________ foreman
dentist,musician,consult,tantalize,7.7664,8.006259357,14,3,consults,NA,consults,tantalizes,NA,tantalizes,dentist __________ musician
dentist,musician,consult,sicken,20.639,20.9125783,15,4,consults,NA,consults,sickens,NA,sickens,dentist __________ musician
dentist,nurse,answer,anger,18.1877,19.0169665,16,4,answers,NA,answers,angers,NA,angers,dentist __________ nurse
dentist,nurse,answer,fear,24.9993,24.41799708,1,3,answers,NA,answers,fears,NA,fears,dentist __________ nurse
dentist,nutritionist,consult,provoke,15.1073,15.62172516,2,2,consults,NA,consults,provokes,NA,provokes,dentist __________ nutritionist
dentist,nutritionist,consult,jeer,19.845,20.25450653,3,1,consults,NA,consults,jeers,NA,jeers,dentist __________ nutritionist
dentist,pediatrician,answer,dupe,18.1229,19.2546948,4,1,answers,NA,answers,dupes,NA,dupes,dentist __________ pediatrician
dentist,pediatrician,answer,offend,18.1949,19.40940351,5,2,answers,NA,answers,offends,NA,offends,dentist __________ pediatrician
dentist,surgeon,ask about,forgive,6.7364,7.087877699,6,3,asks,about,asks about,forgives,NA,forgives,dentist __________ surgeon
dentist,surgeon,ask about,anger,17.2818,20.48721105,7,4,asks,about,asks about,angers,NA,angers,dentist __________ surgeon
dentist,teacher,ask about,despise,14.2689,17.02403855,8,4,asks,about,asks about,despises,NA,despises,dentist __________ teacher
dentist,teacher,ask about,insult,20.4689,23.34090424,9,3,asks,about,asks about,insults,NA,insults,dentist __________ teacher
dentist,technician,turn to,stammer at,12.5275,11.60109443,10,2,turns,to,turns to,stammers,at,stammers at,dentist __________ technician
dentist,technician,turn to,overwhelm,12.7078,11.80562048,11,1,turns,to,turns to,overwhelms,NA,overwhelms,dentist __________ technician
firefighter,bailiff,greet,extort,24.411,25.65248594,14,1,greets,NA,greets,extorts,NA,extorts,firefighter __________ bailiff
firefighter,bailiff,greet,antagonize,28.2862,29.87915004,15,2,greets,NA,greets,antagonizes,NA,antagonizes,firefighter __________ bailiff
firefighter,civil engineer,congratulate,retaliate against,18.1674,17.6596677,16,3,congratulates,NA,congratulates,retaliates,against,retaliates against,firefighter __________ civil engineer
firefighter,civil engineer,congratulate,kowtow to,27.1987,26.99029408,1,4,congratulates,NA,congratulates,kowtows,to,kowtows to,firefighter __________ civil engineer
firefighter,cook,amuse,analyze,10.6174,13.58675211,2,4,amuses,NA,amuses,analyzes,NA,analyzes,firefighter __________ cook
firefighter,cook,amuse,annoy,22.1672,25.64076961,3,3,amuses,NA,amuses,annoies,NA,annoys,firefighter __________ cook
firefighter,crane operator,coach,examine,9.5386,10.34154946,4,2,coachs,NA,coachs,examines,NA,examines,firefighter __________ crane operator
firefighter,crane operator,coach,deprave,27.8713,29.41675263,5,1,coachs,NA,coachs,depraves,NA,depraves,firefighter __________ crane operator
firefighter,defense attorney,greet,hail,5.772,6.6207213,6,1,greets,NA,greets,hails,NA,hails,firefighter __________ defense attorney
firefighter,defense attorney,greet,patronize,19.4573,20.99297856,7,2,greets,NA,greets,patronizes,NA,patronizes,firefighter __________ defense attorney
firefighter,dental hygienist,congratulate,comfort,8.8809,10.58880837,8,3,congratulates,NA,congratulates,comforts,NA,comforts,firefighter __________ dental hygienist
firefighter,dental hygienist,congratulate,dismay,28.4649,28.83311074,9,4,congratulates,NA,congratulates,dismaies,NA,dismays,firefighter __________ dental hygienist
firefighter,dentist,congratulate,reform,7.3667,7.818412581,10,4,congratulates,NA,congratulates,reforms,NA,reforms,firefighter __________ dentist
firefighter,dentist,congratulate,ridicule,39.3389,38.53453837,11,3,congratulates,NA,congratulates,ridicules,NA,ridicules,firefighter __________ dentist
firefighter,firefighter,excite,stammer at,23.141,25.55607165,12,2,excites,NA,excites,stammers,at,stammers at,firefighter __________ firefighter
firefighter,firefighter,excite,delude,26.5946,30.45668571,13,1,excites,NA,excites,deludes,NA,deludes,firefighter __________ firefighter
firefighter,foreman,coach,walk out on,24.7598,24.45669064,16,1,coachs,NA,coachs,walks,out on,walks out on,firefighter __________ foreman
firefighter,foreman,coach,plot against,31.0122,30.27061973,1,2,coachs,NA,coachs,plots,against,plots against,firefighter __________ foreman
firefighter,musician,congratulate,pooh pooh,24.6197,25.07063352,2,3,congratulates,NA,congratulates,poohs,pooh,poohes pooh,firefighter __________ musician
firefighter,musician,congratulate,bother,28.8875,28.16571222,3,4,congratulates,NA,congratulates,bothers,NA,bothers,firefighter __________ musician
firefighter,nurse,applaud,confuse,27.4078,24.1404042,4,4,applauds,NA,applauds,confuses,NA,confuses,firefighter __________ nurse
firefighter,nurse,applaud,frame,50.1787,46.15145682,5,3,applauds,NA,applauds,frames,NA,frames,firefighter __________ nurse
firefighter,nutritionist,applaud,be sarcastic toward,19.2554,16.235055,6,2,applauds,NA,applauds,bes,sarcastic toward,issarcastic toward,firefighter __________ nutritionist
firefighter,nutritionist,applaud,bribe,27.6986,23.79585408,7,1,applauds,NA,applauds,bribes,NA,bribes,firefighter __________ nutritionist
firefighter,pediatrician,applaud,hunt for,26.7707,24.41077356,8,1,applauds,NA,applauds,hunts,for,hunts for,firefighter __________ pediatrician
firefighter,pediatrician,applaud,scrutinize,31.5689,28.14948605,9,2,applauds,NA,applauds,scrutinizes,NA,scrutinizes,firefighter __________ pediatrician
firefighter,surgeon,laugh with,have a heart to heart talk with,12.873,13.46145561,10,3,laughs,with,laughs with,haves,a heart to heart talk with,has a heart to heart talk with,firefighter __________ surgeon
firefighter,surgeon,laugh with,fool,33.9926,30.19056837,11,4,laughs,with,laughs with,fools,NA,fools,firefighter __________ surgeon
firefighter,teacher,laugh with,bequeath to,14.0675,10.97249374,12,4,laughs,with,laughs with,bequeaths,to,bequeathes to,firefighter __________ teacher
firefighter,teacher,laugh with,quibble with,24.9786,20.56719206,13,3,laughs,with,laughs with,quibbles,with,quibbles with,firefighter __________ teacher
firefighter,technician,congratulate,concede to,25.0066,26.39452171,14,2,congratulates,NA,congratulates,concedes,to,concedes to,firefighter __________ technician
firefighter,technician,congratulate,fear,44.0701,44.92466768,15,1,congratulates,NA,congratulates,fears,NA,fears,firefighter __________ technician
foreman,bailiff,show something to,drive out,7.2995,7.181869083,15,1,shows,something to,shows something to,drives,out,drives out,foreman __________ bailiff
foreman,bailiff,show something to,displease,6.7154,8.332591425,14,2,shows,something to,shows something to,displeases,NA,displeases,foreman __________ bailiff
foreman,civil engineer,show something to,apologize to,5.4317,5.971449868,13,3,shows,something to,shows something to,apologizes,to,apologizes to,foreman __________ civil engineer
foreman,civil engineer,show something to,hurt,19.0573,20.51652404,12,4,shows,something to,shows something to,hurts,NA,hurts,foreman __________ civil engineer
foreman,cook,ask about,abhor,14.377,12.26424735,11,4,asks,about,asks about,abhors,NA,abhors,foreman __________ cook
foreman,cook,ask about,threaten,25.8408,22.91096427,10,3,asks,about,asks about,threatens,NA,threatens,foreman __________ cook
foreman,crane operator,show something to,scare,9.1394,8.953451483,9,2,shows,something to,shows something to,scares,NA,scares,foreman __________ crane operator
foreman,crane operator,show something to,mock,16.2153,15.51688412,8,1,shows,something to,shows something to,mocks,NA,mocks,foreman __________ crane operator
foreman,defense attorney,emulate,welcome,8.1354,6.702489016,7,1,emulates,NA,emulates,welcomes,NA,welcomes,foreman __________ defense attorney
foreman,defense attorney,emulate,haze,14.6868,17.69805234,6,2,emulates,NA,emulates,hazes,NA,hazes,foreman __________ defense attorney
foreman,dental hygienist,show something to,snuggle,6.6674,6.85778918,5,3,shows,something to,shows something to,snuggles,NA,snuggles,foreman __________ dental hygienist
foreman,dental hygienist,show something to,discomfort,11.8646,12.39449327,4,4,shows,something to,shows something to,discomforts,NA,discomforts,foreman __________ dental hygienist
foreman,dentist,show something to,hurry,6.5501,6.431909174,3,4,shows,something to,shows something to,hurries,NA,hurries,foreman __________ dentist
foreman,dentist,show something to,elect,6.8813,7.230855723,2,3,shows,something to,shows something to,elects,NA,elects,foreman __________ dentist
foreman,firefighter,ask about,bait,12.1869,12.29606992,1,2,asks,about,asks about,baits,NA,baits,foreman __________ firefighter
foreman,firefighter,ask about,disparage,15.3795,14.50324229,16,1,asks,about,asks about,disparages,NA,disparages,foreman __________ firefighter
foreman,foreman,show something to,disappoint,17.183,15.53482901,13,1,shows,something to,shows something to,disappoints,NA,disappoints,foreman __________ foreman
foreman,foreman,show something to,exploit,17.6622,16.75560854,12,2,shows,something to,shows something to,exploits,NA,exploits,foreman __________ foreman
foreman,musician,show something to,kowtow to,9.1605,8.965542517,11,3,shows,something to,shows something to,kowtows,to,kowtows to,foreman __________ musician
foreman,musician,show something to,mislead,12.2488,13.06259064,10,4,shows,something to,shows something to,misleads,NA,misleads,foreman __________ musician
foreman,nurse,ask about,box,10.9525,9.095818588,9,4,asks,about,asks about,boxs,NA,boxs,foreman __________ nurse
foreman,nurse,ask about,extort,17.2501,15.86530023,8,3,asks,about,asks about,extorts,NA,extorts,foreman __________ nurse
foreman,nutritionist,ask about,doubt,7.1101,5.815408337,7,2,asks,about,asks about,doubts,NA,doubts,foreman __________ nutritionist
foreman,nutritionist,ask about,borrow money from,8.3813,6.936948467,6,1,asks,about,asks about,borrows,money from,borrows money from,foreman __________ nutritionist
foreman,pediatrician,ask about,disobey,9.3411,8.608543226,5,1,asks,about,asks about,disobeies,NA,disobeys,foreman __________ pediatrician
foreman,pediatrician,ask about,give in to,12.3386,10.61996968,4,2,asks,about,asks about,gives,in to,gives in to,foreman __________ pediatrician
foreman,surgeon,ask about,subdue,6.6897,7.143889779,3,3,asks,about,asks about,subdues,NA,subdues,foreman __________ surgeon
foreman,surgeon,ask about,submit to,14.2219,12.70777646,2,4,asks,about,asks about,submits,to,submits to,foreman __________ surgeon
foreman,teacher,ask about,disqualify,8.4494,7.96201731,1,4,asks,about,asks about,disqualifies,NA,disqualifies,foreman __________ teacher
foreman,teacher,ask about,fire from a job,9.0321,9.021597071,16,3,asks,about,asks about,fires,from a job,fires from a job,foreman __________ teacher
foreman,technician,show something to,deflate,11.5693,12.32058986,15,2,shows,something to,shows something to,deflates,NA,deflates,foreman __________ technician
foreman,technician,show something to,make fun of,18.9907,19.39366091,14,1,shows,something to,shows something to,makes,fun of,makes fun of,foreman __________ technician
musician,bailiff,call,bribe,9.7379,10.11875468,11,1,calls,NA,calls,bribes,NA,bribes,musician __________ bailiff
musician,bailiff,call,snub,13.356,12.75747203,10,2,calls,NA,calls,snubs,NA,snubs,musician __________ bailiff
musician,civil engineer,chat with,examine,6.4438,6.487492028,9,3,chats,with,chats with,examines,NA,examines,musician __________ civil engineer
musician,civil engineer,chat with,bluff,11.5891,10.13036465,8,4,chats,with,chats with,bluffs,NA,bluffs,musician __________ civil engineer
musician,cook,chat with,chide,10.2654,8.490921239,7,4,chats,with,chats with,chides,NA,chides,musician __________ cook
musician,cook,chat with,evade,12.8884,11.16802822,6,3,chats,with,chats with,evades,NA,evades,musician __________ cook
musician,crane operator,call,mislead,15.7214,16.91270699,5,2,calls,NA,calls,misleads,NA,misleads,musician __________ crane operator
musician,crane operator,call,scream at,20.3961,22.55106636,4,1,calls,NA,calls,screams,at,screams at,musician __________ crane operator
musician,defense attorney,call,reject,8.4209,9.073536991,3,1,calls,NA,calls,rejects,NA,rejects,musician __________ defense attorney
musician,defense attorney,call,condemn,16.9961,18.83204934,2,2,calls,NA,calls,condemns,NA,condemns,musician __________ defense attorney
musician,dental hygienist,chat with,displease,17.7533,14.70656242,1,3,chats,with,chats with,displeases,NA,displeases,musician __________ dental hygienist
musician,dental hygienist,chat with,complain about,18.9379,15.02140245,16,4,chats,with,chats with,complains,about,complains about,musician __________ dental hygienist
musician,dentist,chat with,grapple with,9.3929,7.237071215,15,4,chats,with,chats with,grapples,with,grapples with,musician __________ dentist
musician,dentist,chat with,leer at,16.1214,13.44389271,14,3,chats,with,chats with,leers,at,leers at,musician __________ dentist
musician,firefighter,joke with,indoctrinate,9.7236,8.912007989,13,2,jokes,with,jokes with,indoctrinates,NA,indoctrinates,musician __________ firefighter
musician,firefighter,joke with,lie to,27.8842,23.8807499,12,1,jokes,with,jokes with,lies,to,lies to,musician __________ firefighter
musician,foreman,call,confuse,8.7325,8.412683889,9,1,calls,NA,calls,confuses,NA,confuses,musician __________ foreman
musician,foreman,call,interrupt,13.3714,13.65651105,8,2,calls,NA,calls,interrupts,NA,interrupts,musician __________ foreman
musician,musician,chat with,obey,6.9918,5.955194723,7,3,chats,with,chats with,obeies,NA,obeys,musician __________ musician
musician,musician,chat with,displease,17.7533,14.79439444,6,4,chats,with,chats with,displeases,NA,displeases,musician __________ musician
musician,nurse,joke with,criticize,12.5682,9.09925142,5,4,jokes,with,jokes with,criticizes,NA,criticizes,musician __________ nurse
musician,nurse,joke with,suspect,16.7531,12.18578585,4,3,jokes,with,jokes with,suspects,NA,suspects,musician __________ nurse
musician,nutritionist,chat with,observe,9.8213,10.90624379,3,2,chats,with,chats with,observes,NA,observes,musician __________ nutritionist
musician,nutritionist,chat with,lie to,23.6661,21.90665302,2,1,chats,with,chats with,lies,to,lies to,musician __________ nutritionist
musician,pediatrician,joke with,discredit,18.3477,15.71096523,1,1,jokes,with,jokes with,discredits,NA,discredits,musician __________ pediatrician
musician,pediatrician,joke with,frame,37.5518,33.5368485,16,2,jokes,with,jokes with,frames,NA,frames,musician __________ pediatrician
musician,surgeon,joke with,order,10.3097,10.37551524,15,3,jokes,with,jokes with,orders,NA,orders,musician __________ surgeon
musician,surgeon,joke with,evade,17.1389,12.18683119,14,4,jokes,with,jokes with,evades,NA,evades,musician __________ surgeon
musician,teacher,chat with,box,11.5097,10.24907377,13,4,chats,with,chats with,boxs,NA,boxs,musician __________ teacher
musician,teacher,chat with,unfriend,13.9477,14.04617461,12,3,chats,with,chats with,unfriends,NA,unfriends,musician __________ teacher
musician,technician,chat with,inspect,6.9947,5.862355997,11,2,chats,with,chats with,inspects,NA,inspects,musician __________ technician
musician,technician,chat with,disbelieve,10.5221,8.928934084,10,1,chats,with,chats with,disbelieves,NA,disbelieves,musician __________ technician
nurse,bailiff,dine with,applaud,7.6691,8.897071387,7,1,dines,with,dines with,applauds,NA,applauds,nurse __________ bailiff
nurse,bailiff,dine with,jest,10.8054,10.68881606,6,2,dines,with,dines with,jests,NA,jests,nurse __________ bailiff
nurse,civil engineer,dine with,obey,5.0899,6.080480664,5,3,dines,with,dines with,obeies,NA,obeys,nurse __________ civil engineer
nurse,civil engineer,dine with,hypnotize,7.4438,8.40220176,4,4,dines,with,dines with,hypnotizes,NA,hypnotizes,nurse __________ civil engineer
nurse,cook,reply to,malign,18.4981,19.13189125,3,4,replies,to,replies to,maligns,NA,maligns,nurse __________ cook
nurse,cook,reply to,chew out,22.1913,23.79140682,2,3,replies,to,replies to,chews,out,chews out,nurse __________ cook
nurse,crane operator,dine with,inspire,5.4506,5.236676673,1,2,dines,with,dines with,inspires,NA,inspires,nurse __________ crane operator
nurse,crane operator,dine with,tempt,13.7121,13.52899863,16,1,dines,with,dines with,tempts,NA,tempts,nurse __________ crane operator
nurse,defense attorney,dine with,bend,10.8315,10.41690678,15,1,dines,with,dines with,bends,NA,bends,nurse __________ defense attorney
nurse,defense attorney,dine with,sneer at,22.1189,21.13614516,14,2,dines,with,dines with,sneers,at,sneers at,nurse __________ defense attorney
nurse,dental hygienist,invite,evade,14.708,13.97225023,13,3,invites,NA,invites,evades,NA,evades,nurse __________ dental hygienist
nurse,dental hygienist,invite,desert,29.3578,28.75712513,12,4,invites,NA,invites,deserts,NA,deserts,nurse __________ dental hygienist
nurse,dentist,dine with,mortify,26.8094,27.33542046,11,4,dines,with,dines with,mortifies,NA,mortifies,nurse __________ dentist
nurse,dentist,dine with,haunt,26.1385,27.57805037,10,3,dines,with,dines with,haunts,NA,haunts,nurse __________ dentist
nurse,firefighter,chat with,obstruct,14.7641,16.79668276,9,2,chats,with,chats with,obstructs,NA,obstructs,nurse __________ firefighter
